id,files,locs added,locs removed,locs total,hunks,commit time,author time
a62f419cb9f9e7eb30a735002c98390dafac595f...cf2cf67ab72434ceebac2ca3f4445b5448e5cb67,1,2,0,2,1,2012-02-07 22:15:30,2012-02-07 22:15:30
224c75b4636d26e02c005ea0c0b0cf17659a480a...9161a9afa9cc80c7d9a6abbff170d7b40c418f32,1,2,0,2,1,2012-02-15 20:28:54,2012-02-07 22:15:30
9161a9afa9cc80c7d9a6abbff170d7b40c418f32...c733c1ae3803bd9e1bb9e65e478af101256728a7,1,1,1,2,1,2012-02-15 20:28:54,2012-02-09 17:57:26
c733c1ae3803bd9e1bb9e65e478af101256728a7...9f1ff58480e82f143f54e5b746e1bdc4244f96f2,1,1,3,4,3,2012-02-15 20:28:54,2012-02-15 20:28:21
413d3d5b7865ab5e4030e5e9ebfc5d9edf04be59...54d2650d35469f6ff912e55fe99c702a9287e985,1,1,1,2,1,2012-02-09 17:57:26,2012-02-09 17:57:26
5a2e369117550757445f6e7e384e21f6aa4e3c93...2b22ee3b4b6231db476f7a02988dbde0d54d83f2,2,5,2,7,3,2012-02-15 20:46:00,2012-02-15 20:46:00
d518b8dfe3a6f512ec1146918b768a83972a45af...138cbab3ce397c5cad55f64d498786e173b1e62d,1,1,0,1,1,2012-02-14 14:19:15,2012-02-14 14:19:15
2b22ee3b4b6231db476f7a02988dbde0d54d83f2...59e1c483bc76354b81a50efb946a527493655c5a,2,3,0,3,2,2012-02-15 20:52:06,2012-02-15 20:52:06
59e1c483bc76354b81a50efb946a527493655c5a...a2f4337ec2004116b46892482de0149608d1e773,2,11,1,12,2,2012-02-15 22:56:03,2012-02-15 22:56:03
d43232fa90f127edbec202a83ee833782b7ab0ba...0a82172d25a6528719e1625174bfcf6dd8aa2166,1,1,0,1,1,2012-03-06 12:45:29,2012-03-06 12:45:29
0a82172d25a6528719e1625174bfcf6dd8aa2166...62350f407558ad1eeb2d48d39cd06b9b60c0daf4,1,1,1,2,1,2012-03-06 12:57:52,2012-03-06 12:57:52
62350f407558ad1eeb2d48d39cd06b9b60c0daf4...a6c2f37357ae9ab5b64922c8f136253c97b8690e,1,5,0,5,1,2012-03-06 19:00:57,2012-03-06 19:00:57
a6c2f37357ae9ab5b64922c8f136253c97b8690e...3fceded114eacc1576a64e7ebfbab6d4a891eb61,2,6,2,8,3,2012-03-06 20:01:21,2012-03-06 20:01:21
3fceded114eacc1576a64e7ebfbab6d4a891eb61...45fcf19c4d2c8096fbafe71de67e2c5279d4d70d,1,4,6,10,3,2012-03-06 20:11:08,2012-03-06 20:11:08
a2f4337ec2004116b46892482de0149608d1e773...957599ab20ee112462766578340b134613b1a21b,1,5,1,6,2,2012-02-16 10:05:56,2012-02-16 10:05:56
45fcf19c4d2c8096fbafe71de67e2c5279d4d70d...8a0b80d5ac65631d7e5b27b1714d12d1b7dd73ce,1,1,1,2,1,2012-03-07 21:38:37,2012-03-07 21:38:37
45fcf19c4d2c8096fbafe71de67e2c5279d4d70d...456817d3b59a9e800bcad292a5d74c2dc4d2f502,1,15,2,17,2,2012-03-06 20:43:38,2012-03-06 20:43:38
456817d3b59a9e800bcad292a5d74c2dc4d2f502...8eb5442e2f20bcfb962b50bf2401458af248defe,1,35,10,45,8,2012-03-06 21:38:03,2012-03-06 21:38:03
957599ab20ee112462766578340b134613b1a21b...c7ce6af1c811d92aa4bbc5958cf6877d7d2f7fa4,1,1,1,2,1,2012-02-16 10:27:25,2012-02-16 10:27:25
8a0b80d5ac65631d7e5b27b1714d12d1b7dd73ce...e1786e38e91ae445bb1caf968907292ec247f80c,1,11,2,13,2,2012-03-08 15:20:33,2012-03-08 15:20:33
e1786e38e91ae445bb1caf968907292ec247f80c...c382aeb71081138e461685d5e7edcaeca488c821,1,2,2,4,2,2012-03-08 19:20:10,2012-03-08 19:20:10
c382aeb71081138e461685d5e7edcaeca488c821...40acfb1a7299058fbc23ea43d0a81ca2abd9907c,1,1,1,2,1,2012-03-08 19:23:33,2012-03-08 19:23:33
74a309a8036e1054989500ab06b3452ee8a1558d...8321fa7861d32f980173a286b574a1954e954d11,1,1,1,2,1,2012-03-07 22:02:09,2012-03-07 22:02:09
8321fa7861d32f980173a286b574a1954e954d11...7a7d3e71199867009aed9e120e1e397ee35f6995,1,2,2,4,2,2012-03-07 22:51:10,2012-03-07 22:37:04
7a7d3e71199867009aed9e120e1e397ee35f6995...811e045c60ff32afb4b7f287a4b054cf089b94fe,1,6,3,9,3,2012-03-07 22:51:20,2012-03-07 22:50:29
c7ce6af1c811d92aa4bbc5958cf6877d7d2f7fa4...2324484152227791a12da562cd05014febd05c8e,1,5,1,6,1,2012-02-16 12:33:06,2012-02-16 12:33:06
efae004bc8f79e8a43d2b749161e14c2c19257fb...807943dadc266f57caea0eba6ae0e680c787b99c,1,10,1,11,2,2012-03-08 20:02:05,2012-03-08 20:02:05
807943dadc266f57caea0eba6ae0e680c787b99c...eb4df9c0ee6313d564bb63f76a80eb52ad2fa63c,1,18,6,24,3,2012-03-08 20:59:41,2012-03-08 20:59:41
eb4df9c0ee6313d564bb63f76a80eb52ad2fa63c...5ff03982a1e7e6d91152d4ec0ebde63f798535e1,1,28,17,45,9,2012-03-08 21:35:08,2012-03-08 21:35:08
5ff03982a1e7e6d91152d4ec0ebde63f798535e1...2131784feaf59a41437c6d9bf5d7a8ab55eeb177,1,18,8,26,8,2012-03-08 21:56:13,2012-03-08 21:56:13
2324484152227791a12da562cd05014febd05c8e...0ee071780aa22dffd25345338acaae9bbf271ed3,2,17,12,29,6,2012-02-18 21:49:34,2012-02-18 21:49:34
5ce8ff4b9673fb6813998b08b763d167257a16ff...6c72dab0f78e9ff0fcb9847268ec767c217b0cf6,1,0,4,4,1,2012-03-14 20:08:59,2012-03-14 20:08:59
2131784feaf59a41437c6d9bf5d7a8ab55eeb177...047c1c25a188e72ba01f9dee0699834cd3b4201b,2,1,0,1,1,2012-03-10 10:59:46,2012-03-10 10:59:46
047c1c25a188e72ba01f9dee0699834cd3b4201b...207c823a694816daf315e1172954ab5a539457b5,2,10,10,20,10,2012-03-10 11:20:20,2012-03-10 11:20:20
2131784feaf59a41437c6d9bf5d7a8ab55eeb177...fa12a75011822b53f50514cabbf692ddc476c9ad,1,2,0,2,1,2012-03-09 17:52:56,2012-03-09 17:52:56
0ee071780aa22dffd25345338acaae9bbf271ed3...36816e3b4288962a452dcc5a4f59df6b0e5257ef,2,16,4,20,3,2012-02-19 12:06:29,2012-02-19 12:06:29
69a69204e79555ed7d8ef321f95b43e5ab063f0d...5cb28b612ff80627f90e7373aa22a4166a0abcaa,1,9,0,9,1,2012-03-10 11:33:56,2012-03-10 11:33:56
36816e3b4288962a452dcc5a4f59df6b0e5257ef...aa451fcd6ad4e3b3aa0b4148b9ccabfe56d3100e,1,2,0,2,1,2012-02-29 22:05:50,2012-02-29 22:05:50
5cb28b612ff80627f90e7373aa22a4166a0abcaa...9d495abba78ed5504ba05a2cf05682a694d27a1f,3,52,32,84,19,2012-03-10 14:39:22,2012-03-10 14:39:22
9d495abba78ed5504ba05a2cf05682a694d27a1f...92181f58f0cbd2849445767d220279b296ef61fe,1,4,0,4,1,2012-03-10 14:45:16,2012-03-10 14:45:16
92181f58f0cbd2849445767d220279b296ef61fe...a20c50db258fbd3725b968da3343ead2af211196,1,25,22,47,16,2012-03-10 18:26:12,2012-03-10 18:26:12
a20c50db258fbd3725b968da3343ead2af211196...2b58f53708d39f1e3de78b831cd049a90890705e,1,13,10,23,10,2012-03-10 19:18:01,2012-03-10 19:18:01
2b58f53708d39f1e3de78b831cd049a90890705e...6314e2e15012c9db69f76e77a8bb1c437a7312b8,2,32,4,36,6,2012-03-10 19:55:40,2012-03-10 19:55:40
6314e2e15012c9db69f76e77a8bb1c437a7312b8...adb2fc498b6efa107e8b9473e065171135a446c6,1,12,0,12,1,2012-03-10 20:36:25,2012-03-10 20:36:25
6314e2e15012c9db69f76e77a8bb1c437a7312b8...2f677e1292605c21d867a91f987b1bfbb94df7da,2,6,1,7,2,2012-03-10 20:22:32,2012-03-10 20:22:32
adb2fc498b6efa107e8b9473e065171135a446c6...78f2ce657c9e04182cee8ad0db23b5f92dabc2c6,1,13,2,15,4,2012-03-11 09:10:36,2012-03-11 09:10:36
78f2ce657c9e04182cee8ad0db23b5f92dabc2c6...b59a4bf4d7cca990f913a18d4aedaf8b3598577e,2,11,1,12,2,2012-03-11 09:15:35,2012-03-11 09:15:35
e2a13e35d681b9dd13700a49306c00031ae7d038...1bbf205bc71b89b0f72a83ac6a1e7f5c4c0f46b1,1,76,19,95,11,2012-03-10 22:36:08,2012-03-10 22:36:08
1bbf205bc71b89b0f72a83ac6a1e7f5c4c0f46b1...b0a139ef81aaa73a5227b5ac47b6caf8f58d359d,1,20,21,41,7,2012-03-10 22:51:20,2012-03-10 22:51:20
b0a139ef81aaa73a5227b5ac47b6caf8f58d359d...b23506e885d33b53191dc0675c0a05585895a24a,2,28,20,48,7,2012-03-10 23:06:48,2012-03-10 23:06:48
b23506e885d33b53191dc0675c0a05585895a24a...5fd0f58fc6c89e556410d07a54997cabc48b2c14,1,4,3,7,3,2012-03-10 23:14:40,2012-03-10 23:11:56
5fd0f58fc6c89e556410d07a54997cabc48b2c14...abfa87dc9176114c869647bbaf504535b93ff5bc,1,10,0,10,1,2012-03-10 23:24:41,2012-03-10 23:24:41
7d39965743bc7cc2d2e4400fd646e8ec9defd77b...c5c3988c32c3382f92e9efee3350a0fba8854c03,1,0,5,5,1,2012-08-09 12:14:17,2012-08-09 12:14:17
c5c3988c32c3382f92e9efee3350a0fba8854c03...587a4539120ce47a5fdac032bfad979397753f43,1,1,1,2,1,2012-08-09 12:20:46,2012-08-09 12:20:46
587a4539120ce47a5fdac032bfad979397753f43...492b60e2c4488c7ed45e6a7c52f734efaa5a4f05,1,4,1,5,2,2012-08-10 08:59:14,2012-08-10 08:59:14
8220ab9393a9b135b6171d700e7c5f9167379420...70bc3b737b4db64c648873620b14ba77004150ba,2,160,141,301,31,2012-03-12 21:51:07,2012-03-12 21:51:07
70bc3b737b4db64c648873620b14ba77004150ba...a055e97a54ef1d3cdd4f1ff17463d73ca3296660,1,104,95,199,16,2012-03-12 22:29:45,2012-03-12 22:29:45
a055e97a54ef1d3cdd4f1ff17463d73ca3296660...e06cda174e58b6f678e321e0b23f827a51dfca0f,1,43,43,86,18,2012-03-12 22:48:33,2012-03-12 22:48:33
e06cda174e58b6f678e321e0b23f827a51dfca0f...c64d9fbf97650c439eaf18b3bd6f4eecbb3ba114,2,6,0,6,3,2012-03-12 22:57:58,2012-03-12 22:57:58
c64d9fbf97650c439eaf18b3bd6f4eecbb3ba114...b2ba0ee4214d0e6c943dddc7ef0dbd6b90199e3f,1,9,9,18,9,2012-03-12 23:43:59,2012-03-12 23:43:59
b2ba0ee4214d0e6c943dddc7ef0dbd6b90199e3f...c4d6ab3b8a93182a11dd0099afa3d129a5d21074,1,6,1,7,1,2012-03-12 23:48:55,2012-03-12 23:48:55
